date,y_lag_1,y_lag_2,y_lag_3,y_lag_4,y_lag_5,y_lag_6,y_lag_7,y_lag_8,y_lag_9,y_lag_10,y_lag_11,y_lag_12,y_lag_13,y_lag_14,y_lag_15,y_lag_16,y_lag_17,y_lag_18,y_lag_19,y_lag_20
2013-05-14,308469.313,350598.062,387860.505,512090.581,335937.442,305868.057,332477.411,317292.964,369869.383,580268.551,520339.516,374291.251,348709.46,507974.637,310186.467,328795.874,477623.473,446665.338,304413.557,268790.619
2016-08-23,660819.978,714866.234,901870.15,828986.336,678767.116,577350.521,725945.703,718671.651,720032.3,761826.129,714905.919,745662.505,596729.28,658457.436,635538.981,715195.539,904321.437,858903.212,704092.739,622883.098
2014-07-02,747430.147,720480.617,429324.055,567218.885,510870.814,370793.572,315798.181,355342.398,340464.745,414929.636,591184.124,538613.855,369206.791,332280.935,373408.664,380396.036,447450.24,441279.934,622072.989,392308.377
2017-07-24,816564.327,1024288.741,932902.047,782418.299,688288.068,767978.778,730133.709,818325.522,1100803.699,969077.125,765489.617,629651.363,748799.996,730534.768,804158.861,1100833.323,998347.193,805792.302,700272.01,844301.613
2015-01-04,730923.776,648880.687,657763.392,12773.617,844380.47,912970.533,773998.401,716329.635,740596.159,872098.457,965982.872,1064977.973,1008143.346,1056605.201,935555.525,757349.376,731938.48,779966.499,799067.056,790182.946
2014-06-03,443636.188,512725.773,742732.83,597192.468,375782.641,326624.578,338481.784,327642.143,373831.086,573412.21,516627.262,349549.898,310660.143,356898.483,354372.34,388814.745,634519.737,537873.964,380822.747,332272.835
2013-07-14,438722.418,432569.102,308786.438,281750.931,314134.886,317279.145,365452.995,500606.073,479514.494,351401.5,327020.179,374551.918,390958.384,441758.388,533481.693,509379.108,324210.972,266525.459,301847.249,305119.53
2016-07-07,591702.782,752110.941,728011.558,850891.599,1126713.708,1078485.142,857027.554,554144.865,632489.477,596948.935,684735.609,954344.667,860296.835,641812.676,559653.337,677730.651,679248.022,735754.365,837363.024,972971.11
2014-11-04,702751.954,973192.042,709851.492,873539.248,561876.072,459715.266,560819.678,512678.812,572806.632,892128.499,758926.231,528403.68,492233.232,584926.356,542207.165,624629.991,935410.596,820840.971,558538.136,538252.607
2015-04-21,426018.313,481694.771,684544.95,629155.661,456303.237,418643.194,438106.288,403623.397,453724.756,659939.024,610603.017,445869.298,398718.316,461140.213,464788.218,519734.817,659669.577,653894.196,510296.786,524588.902
2017-06-18,965144.121,1096133.551,834786.428,660338.347,785885.909,729412.96,768349.759,1213673.947,993732.684,795116.136,667099.801,842979.837,805546.648,912693.851,1376511.521,1176138.109,918421.319,766859.173,858062.15,742471.277
2013-02-08,347441.79,290807.531,321538.177,321245.839,344308.715,486336.82,518887.463,369402.055,271254.218,281061.127,264488.818,285460.17,430411.991,413799.768,290022.772,247245.691,283258.453,296214.729,311211.266,461092.386
2014-03-21,548811.476,500897.118,585974.658,537427.87,612719.522,929808.493,731049.79,530515.259,473298.045,575676.801,539365.378,587414.829,916117.65,753345.259,598242.339,614082.444,741756.416,748930.901,613973.032,667413.053
2016-02-10,790988.714,746939.64,636542.677,697791.631,941954.076,768586.508,650328.167,772360.939,765233.208,872063.315,1093211.23,969938.377,660492.758,533709.849,647254.678,609465.788,658090.687,980927.757,906754.834,648431.428
2013-11-02,540615.555,403637.233,298195.433,319494.705,302332.997,346941.914,512891.483,452902.364,317570.426,276059.08,323105.116,301641.785,348721.328,537713.509,488245.57,323327.873,312949.413,355696.964,305242.57,342694.721
2016-09-03,1057581.211,837129.588,718105.571,731430.124,624711.335,671845.737,858802.42,791047.535,646698.273,554421.529,674613.048,660819.978,714866.234,901870.15,828986.336,678767.116,577350.521,725945.703,718671.651,720032.3
2014-03-26,569680.542,539861.62,571762.045,838814.636,771704.934,548811.476,500897.118,585974.658,537427.87,612719.522,929808.493,731049.79,530515.259,473298.045,575676.801,539365.378,587414.829,916117.65,753345.259,598242.339
2016-07-02,1078485.142,857027.554,554144.865,632489.477,596948.935,684735.609,954344.667,860296.835,641812.676,559653.337,677730.651,679248.022,735754.365,837363.024,972971.11,737897.438,620526.243,708327.637,622267.773,685382.193
2014-07-11,535644.182,498047.549,574451.41,557291.498,638526.429,918276.597,817307.11,595424.313,583844.721,747430.147,720480.617,429324.055,567218.885,510870.814,370793.572,315798.181,355342.398,340464.745,414929.636,591184.124
2013-02-21,267711.109,313803.162,293637.802,350745.573,399588.91,485660.494,320168.884,308164.017,319597.93,308800.791,278627.589,300951.329,416176.279,347441.79,290807.531,321538.177,321245.839,344308.715,486336.82,518887.463
